# wavelength throughput charge
8.505912614526500874e+02 -2.511518811354085390e-02 9.492750000000000084e-08
8.545809238336011049e+02 -2.881371834575295610e-02 1.066749999999999940e-07
8.585706795783065672e+02 -2.200144939878785968e-02 1.396839999999999953e-07
8.625605325712692775e+02 -3.899873895196230567e-02 1.116169999999999995e-07
8.665504866969919249e+02 -3.194830226976855259e-02 1.413869999999999941e-07
8.705405458399771987e+02 -3.947691645119590781e-02 1.165489999999999936e-07
8.745307138847275610e+02 -1.000952286424474369e-01 6.697850000000000647e-08
8.785209947157460419e+02 -6.087392464231873579e-02 1.050950000000000024e-07
8.825113922175351036e+02 -6.314331397911321364e-02 1.246009999999999919e-07
8.865019102745974351e+02 -6.241734710699409217e-02 1.328609999999999878e-07
8.904925527714357258e+02 -1.088053238007862938e-01 9.714090000000000397e-08
8.944833235925525514e+02 -6.503706079978407995e-02 1.437060000000000032e-07
8.984742266224507148e+02 -9.261063925305901279e-02 1.140920000000000002e-07
