# WAVE RELTPT CHARGE
8.790000000000000000e+02 1.518188384431902183e-01 1.582019999999999974e-06
8.820000000000000000e+02 1.459741016359986099e-01 3.718470000000000077e-06
8.850000000000000000e+02 1.387694751860731324e-01 4.159020000000000035e-06
8.880000000000000000e+02 1.379297497494605951e-01 3.418589999999999909e-06
8.910000000000000000e+02 1.262710910307239809e-01 3.945669999999999782e-06
8.940000000000000000e+02 1.274198735038422070e-01 4.225079999999999873e-06
8.970000000000000000e+02 1.164982106261930606e-01 3.480830000000000180e-06
9.000000000000000000e+02 1.133962063035951623e-01 4.217750000000000402e-06
9.030000000000000000e+02 1.109038632018970599e-01 3.894920000000000310e-06
9.060000000000000000e+02 1.008543289585720065e-01 3.672729999999999986e-06
9.090000000000000000e+02 1.036518976845008377e-01 4.041759999999999738e-06
4.000000000000000000e+02 1.307680210952689936e+00 1.529620000000000101e-08
9.120000000000000000e+02 9.327128731729165956e-02 1.349429999999999928e-06
4.030000000000000000e+02 6.323545769942583439e-01 1.995330000000000173e-06
9.150000000000000000e+02 1.091206170359913796e-01 2.828119999999999784e-07
4.060000000000000000e+02 6.613511920864389992e-01 6.031210000000000443e-07
9.180000000000000000e+02 9.857341117951176623e-02 2.991650000000000190e-07
4.090000000000000000e+02 6.710527302515874037e-01 2.532950000000000033e-06
4.120000000000000000e+02 6.876250742730325438e-01 2.703610000000000107e-06
4.150000000000000000e+02 6.972108514239164778e-01 3.456770000000000109e-06
4.180000000000000000e+02 7.051393267416318222e-01 2.535360000000000066e-06
4.210000000000000000e+02 7.127580813367556667e-01 2.717790000000000198e-06
4.240000000000000000e+02 7.222397766020737242e-01 2.932149999999999955e-06
4.270000000000000000e+02 7.257644704448068529e-01 2.924629999999999898e-06
4.300000000000000000e+02 6.651246745458210263e-01 4.940900000000000416e-06
4.330000000000000000e+02 7.378841874623957020e-01 2.758570000000000170e-06
4.360000000000000000e+02 7.409837160132549672e-01 2.758389999999999860e-06
4.390000000000000000e+02 7.216157733182684275e-01 3.447640000000000080e-06
4.420000000000000000e+02 7.309801131232003257e-01 3.282260000000000064e-06
4.450000000000000000e+02 7.149866255635608514e-01 3.681439999999999857e-06
4.480000000000000000e+02 7.180608013359679465e-01 3.697829999999999966e-06
4.500000000000000000e+02 7.408932242675789759e-01 3.665649999999999793e-06
4.510000000000000000e+02 7.158261583449063714e-01 3.730539999999999946e-06
4.540000000000000000e+02 7.700744419208729319e-01 2.794509999999999948e-06
4.570000000000000000e+02 7.365394379530773028e-01 3.529890000000000012e-06
4.600000000000000000e+02 7.294233168549806301e-01 3.727940000000000174e-06
4.630000000000000000e+02 7.537422388901904302e-01 3.302330000000000110e-06
4.660000000000000000e+02 7.349143275105101125e-01 3.668160000000000045e-06
4.690000000000000000e+02 7.719036844762964256e-01 3.174600000000000065e-06
4.720000000000000000e+02 7.920498592495115453e-01 2.827120000000000132e-06
4.750000000000000000e+02 7.732057089067299049e-01 3.234390000000000046e-06
4.780000000000000000e+02 7.556406629806800002e-01 3.498300000000000032e-06
4.810000000000000000e+02 7.757337665548463823e-01 3.285590000000000081e-06
4.840000000000000000e+02 8.208068810196267329e-01 2.645280000000000193e-06
4.870000000000000000e+02 7.453388557609473830e-01 3.831959999999999646e-06
4.900000000000000000e+02 7.802925992129945421e-01 3.341169999999999894e-06
4.930000000000000000e+02 8.218641032079316844e-01 2.761609999999999805e-06
4.960000000000000000e+02 6.843679021128072915e-01 5.379389999999999838e-06
4.990000000000000000e+02 7.654700551164606015e-01 3.612160000000000073e-06
5.020000000000000000e+02 8.295942221596732669e-01 2.758939999999999795e-06
5.050000000000000000e+02 7.469522369290130248e-01 4.036160000000000164e-06
5.080000000000000000e+02 7.682285545816983641e-01 3.697919999999999909e-06
5.110000000000000000e+02 8.418483522983308820e-01 2.682079999999999993e-06
