# WAVE RELTPT CHARGE
8.990000000000000000e+02 3.680263535899548633e-02 7.353339999999999590e-07
9.020000000000000000e+02 2.970305092395894922e-02 6.306830000000000101e-07
9.050000000000000000e+02 2.408520062706814846e-02 7.470280000000000371e-07
9.080000000000000000e+02 2.042424779988960548e-02 1.157150000000000009e-06
9.110000000000000000e+02 1.787828260444469103e-02 2.484810000000000186e-06
9.140000000000000000e+02 1.652666481647744462e-02 6.972739999999999583e-06
9.170000000000000000e+02 1.669841721950444252e-02 6.928609999999999889e-06
9.200000000000000000e+02 1.646652973664554376e-02 6.846750000000000134e-06
9.230000000000000000e+02 1.697468138352378059e-02 3.684429999999999806e-06
9.260000000000000000e+02 1.753283427280159790e-02 3.015740000000000030e-06
9.290000000000000000e+02 1.746287823295677999e-02 2.889180000000000093e-06
9.320000000000000000e+02 1.751112699855894572e-02 3.335919999999999818e-06
9.350000000000000000e+02 1.659615771003194323e-02 6.864720000000000235e-06
9.380000000000000000e+02 1.647400677072794264e-02 6.833439999999999918e-06
9.410000000000000000e+02 1.643194324118398691e-02 6.810349999999999940e-06
9.440000000000000000e+02 1.659190465526192912e-02 6.749400000000000126e-06
9.470000000000000000e+02 1.640469427262053123e-02 6.780909999999999592e-06
9.500000000000000000e+02 1.661911032880150629e-02 6.715829999999999700e-06
9.530000000000000000e+02 1.658116118450088383e-02 6.653379999999999985e-06
9.560000000000000000e+02 1.645601475469945715e-02 6.852059999999999749e-06
9.590000000000000000e+02 1.643743683536868366e-02 6.886840000000000118e-06
9.620000000000000000e+02 1.653050283166915269e-02 6.878970000000000141e-06
9.650000000000000000e+02 1.671743320971011762e-02 5.477450000000000386e-06
9.680000000000000000e+02 1.820588170564631236e-02 1.801019999999999910e-06
9.710000000000000000e+02 1.971217717346914616e-02 1.260000000000000007e-06
9.740000000000000000e+02 2.042896434072524053e-02 1.242369999999999974e-06
9.770000000000000000e+02 2.096905421343125270e-02 1.146759999999999927e-06
9.800000000000000000e+02 2.062073886078765600e-02 1.101080000000000010e-06
9.830000000000000000e+02 2.107413283459457290e-02 8.649490000000000513e-07
9.860000000000000000e+02 2.554884879268921535e-02 6.165370000000000104e-07
9.890000000000000000e+02 2.733790442021216335e-02 5.304249999999999868e-07
9.920000000000000000e+02 2.794466994484145345e-02 5.029130000000000247e-07
9.950000000000000000e+02 2.827269989821040025e-02 5.147350000000000362e-07
9.980000000000000000e+02 2.789363154210288548e-02 5.393560000000000288e-07
